sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
2U-5KEA-202F,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,9,14,9,11,31.98,41.17,31.98,,3,19.98,32.0,35.51,,,,32.22,0.0,fba,USD,,B00EMKJKNC,new_new,True,True,False,4,6917,
1L-CDQL-HU09,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,2,11,2,10,18.95,19.99,24.8,,0,8.99,,19.09,,,,37.14,0.0,fba,USD,,B08RWRKBQS,new_new,False,True,False,0,9266,
2X-EBAM-MP5D,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,11,13,11,8,18.49,18.49,19.82,,0,9.99,19.9,20.56,,,,30.12,0.0,fba,USD,,B07SNV5HQB,new_new,False,True,False,0,16954,
YU-3L3T-R2OO,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,3,2,0,0,39.98,49.99,,,7,30.55,,44.92,,,,44.92,0.0,mf,USD,,B0BNW7M8TR,new_new,False,False,False,0,74133,
NE-1N8P-2TCJ,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,1,5,1,5,24.0,20.28,20.28,,0,13.78,16.9,20.26,,,,20.28,0.0,mf,USD,,B0BBSQ3G8T,new_new,False,True,False,0,48639,
4X-5LZS-69I0,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,3,0,0,8.3,9.98,,,1,3.58,,7.55,,,,7.36,0.0,fba,USD,,B000S83GO6,new_new,False,False,False,0,24256,
AI-5EYD-LZTQ,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,5,0,0,7.94,9.59,7.94,,0,3.2,3.0,7.75,,,,13.84,0.0,fba,USD,,B000WR4LM4,new_new,False,True,False,0,55084,
VO-VHCN-KUBQ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,8,13,8,11,14.99,14.99,14.99,,10,6.52,,14.55,,,,35.11,0.0,fba,USD,,B087T3Z9XG,new_new,True,True,False,18,2112,
PF-OJPF-6KQB,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,36,17,18,2,6.76,7.2,6.76,,0,3.19,6.0,7.73,,,,9.5,0.0,fba,USD,,B07N3WTM6L,new_new,False,True,False,0,39423,
E8-0CCE-MTM2,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,19,4,17,0,29.0,29.83,29.0,,0,18.0,,26.47,,,,29.0,0.0,mf,USD,,B09XFCCC9B,new_new,False,True,False,0,20864,
W1-MSY3-TVDA,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,10,1,0,0,29.0,30.0,29.0,,0,18.0,,26.47,,,,29.0,0.0,mf,USD,,B0B9LG7VN9,new_new,False,True,False,0,27377,
IN-4W8P-USKJ,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,14,4,0,0,37.0,33.0,39.0,,0,18.0,,26.47,,,,39.0,0.0,mf,USD,,B0B9SNKMZ9,new_new,False,True,False,0,51746,
E7-UAB8-2I9L,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,14,12,12,8,42.99,42.99,42.99,,30,24.0,,41.18,,,,54.99,0.0,fba,USD,,B083XCF3TM,new_new,False,True,False,0,11512,
68-6PKS-5S6Q,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,17,5,16,1,36.0,35.7,38.55,40.5,0,12.0,21.97,21.97,,,,38.55,0.0,fba,USD,,B0BLP8MCQL,new_new,False,True,False,0,6228,
IP-HXJF-ES6Q,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,8,1,0,0,15.76,16.74,,,0,8.69,,12.77,,,,12.77,0.0,mf,USD,,B09SV8WPDM,new_new,False,False,False,0,171567,
HR-98S4-9ECL,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,4,7,4,7,35.89,31.0,31.0,36.01,0,12.78,,27.4,,,,42.0,0.0,fba,USD,,B001EQ4R7Q,new_new,False,True,False,0,18020,
G1-NXMG-AU2V,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,0,7,0,4,,32.28,32.28,32.28,0,16.8,25.0,23.71,,,,32.27,0.0,mf,USD,,B01N1MSDIA,new_new,False,True,False,0,41754,
FQ-DNGV-ABC9,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,4,0,0,26.86,26.25,27.46,29.98,0,18.0,26.0,26.47,,,,27.46,0.0,mf,USD,,B07S9X3RR5,new_new,False,True,False,0,29536,
AJ-9PUA-LU5H,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,9,2,0,0,29.97,32.8,29.97,,0,16.88,,24.82,,,,29.97,0.0,mf,USD,,B07KBV1MP6,new_new,False,True,False,0,58088,
95-AGQA-RYRS,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,19,4,0,0,36.77,34.0,40.0,,0,18.52,,27.23,,,,40.0,0.0,mf,USD,,B09MD6H8FH,new_new,False,True,False,0,13997,
7W-N6J4-RC2L,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,22,4,19,1,31.99,40.77,35.07,,0,17.98,,34.01,,,,43.99,0.0,fba,USD,,B001E5E33U,new_new,False,True,False,0,7970,
4O-XKWG-L091,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,5,12,4,8.79,9.15,8.79,,0,4.39,4.39,9.12,,,,19.98,0.0,fba,USD,,B08KYL8V1K,new_new,False,True,False,0,57022,
4B-1477-1BUD,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,20,2,18,2,13.91,17.92,13.92,,1,6.79,,14.87,,,,21.99,0.0,fba,USD,,B0C8Z9HPJ2,new_new,False,True,False,0,99107,
