sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
1BJ1-PO0S-CF0W,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,24,6,17,2,18.69,19.02,18.7,,19,12.27,,22.2,,,,22.36,0.0,fba,USD,,B07ZDNWSZY,new_new,True,True,False,15,35600,
1BJ1-PO0S-BH85,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,13,3,13,3,30.79,34.98,30.79,32.79,1,19.7,,32.69,,,,32.79,0.0,fba,USD,,B00TU66PFY,new_new,True,True,False,4,7225,
C9-TL9U-G2RO,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,25,4,16,4,14.69,14.0,14.0,15.14,20,7.84,,15.95,,,,16.1,0.0,fba,USD,,B072JMQZVQ,new_new,True,True,False,13,25558,
Z1-N83N-RVGM,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,32,24,0,0,12.95,12.93,12.95,,17,5.66,,12.87,,,,12.95,0.0,fba,USD,,B08XK8T5TK,new_new,True,True,False,4,56514,
VU-SDJD-9ZL3,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,22,3,19,1,16.45,19.95,18.0,,11,9.95,,18.63,,,,18.86,0.0,fba,USD,,B06WWDQ5LJ,new_new,True,True,False,10,34637,
MS-QONX-EYPB,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,25,2,20,0,15.0,19.76,16.41,,12,8.69,,16.85,,,,16.87,0.0,fba,USD,,B01LVZ4L9F,new_new,True,True,False,10,51561,
HC-4P7W-LNNQ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,29,4,18,2,16.87,16.44,16.87,,11,9.79,,18.4,,,,18.66,0.0,fba,USD,,B08XK18Y68,new_new,True,True,False,12,41422,
AJ-JJWX-ZCX2,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,2,12,2,20.1,19.49,20.1,,7,10.79,,20.11,,,,20.42,0.0,fba,USD,,B08XKJQLCF,new_new,True,True,False,4,102841,
HA-ZLCL-1KYZ,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,37,6,19,0,20.0,21.25,20.0,,6,14.97,21.89,24.47,,,,21.97,0.0,fba,USD,,B0084VBOTI,new_new,True,True,False,12,41211,
YY-5OQ2-TI5V,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,21,10,16,4,19.97,21.5,19.98,,25,10.62,,23.3,,,,23.53,0.0,fba,USD,,B08JVTQB1X,new_new,True,True,False,9,22529,
FH-JDP6-H8SI,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,4,8,4,7,19.75,19.18,19.75,,4,6.83,,16.54,,,,19.75,0.0,fba,USD,,B00A2EWPZC,new_new,True,True,False,2,110586,
FB-6UHS-VX1Q,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,34,4,18,2,16.19,16.1,16.99,,13,13.3,,23.1,,,,23.13,0.0,fba,USD,,B01M8G39OW,new_new,False,True,False,0,42072,
D0-FKWW-NCBE,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,10,15,0,0,7.99,8.16,7.99,,13,2.87,,7.14,,,,7.99,0.0,fba,USD,,B00EQF8TJE,new_new,True,True,False,2,88305,
IT-HMJZ-J2Q9,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,8,5,0,0,16.0,16.15,16.15,17.43,19,7.19,,14.73,,,,17.43,0.0,fba,USD,,B0017QK7A4,new_new,True,True,False,9,32614,
8Z-XOTK-GXBA,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,5,7,5,7.92,8.01,7.92,,12,3.51,1.0,7.98,,,,14.07,0.0,fba,USD,,B01FUQ4YUU,new_new,True,True,False,11,12803,
6G-9VVG-QT3S,True,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,6,8,0,0,23.95,24.45,28.55,,3,13.88,20.0,26.08,,,,34.89,0.0,fba,USD,,B0BT56X26V,new_new,False,True,False,0,4626,
